epoch,train_loss,train_grad_global,train_grad_avg,train_grad_max,eval_loss,eval_top1,eval_top5,eval_advloss,eval_advtop1,eval_advtop5,lr
0,6.820504818412421,inf,inf,inf,6.8218225,0.374,1.55,0,0,0,5.9e-06
1,6.7004268462899965,inf,inf,inf,6.65842375,0.792,2.978,0,0,0,1.0800000000000002e-05
2,6.559361380543545,inf,inf,inf,6.51485875,1.24,4.492,0,0,0,1.5700000000000002e-05
3,6.313004634744353,inf,inf,inf,6.27308625,2.358,7.292,0,0,0,2.0600000000000003e-05
4,6.072936033554596,inf,inf,inf,5.8820875,4.38,12.436,0,0,0,2.5500000000000003e-05
5,5.8461051626647595,inf,inf,inf,5.4617925,7.242,19.134,0,0,0,3.0400000000000007e-05
6,5.6037703108349195,inf,inf,inf,5.0609575,10.656,25.834,0,0,0,3.5300000000000004e-05
7,5.334330881814019,inf,inf,inf,4.66952,14.652,32.614,0,0,0,4.02e-05
8,5.044909805416775,inf,inf,inf,4.23557125,19.786,40.45,0,0,0,4.5100000000000005e-05
9,4.774061332837188,inf,inf,inf,3.78944,25.65,48.492,0,0,0,4.9842294026289564e-05
10,4.505772679877414,inf,inf,inf,3.3836975,31.556,56.114,0,0,0,4.9809228513933027e-05
11,4.255493956075298,inf,inf,inf,3.0340025,37.38,62.316,0,0,0,4.977303489475828e-05
12,4.054731122690806,inf,inf,inf,2.74210875,42.13,67.184,0,0,0,4.973371888415736e-05
13,3.881352721930122,inf,inf,inf,2.5005375,46.382,71.034,0,0,0,4.969128669058411e-05
14,3.7202413668163676,inf,inf,inf,2.303298125,49.982,74.378,0,0,0,4.964574501457378e-05
15,3.594366045021039,inf,inf,inf,2.14032625,52.942,76.89,0,0,0,4.959710104768494e-05
16,3.4654148610280475,inf,inf,inf,2.006500625,55.56,78.864,0,0,0,4.954536247136387e-05
17,3.3657106806238968,inf,inf,inf,1.894854375,57.8,80.506,0,0,0,4.949053745573155e-05
18,3.2851942602774318,inf,inf,inf,1.799875625,59.688,81.962,0,0,0,4.943263465829348e-05
19,3.1916470346595647,inf,inf,inf,1.71983875,61.362,83.2,0,0,0,4.9371663222572624e-05
20,3.117389905509903,inf,inf,inf,1.650798125,62.73,84.112,0,0,0,4.930763277666548e-05
21,3.0454408555960866,inf,inf,inf,1.591766875,63.992,85.01,0,0,0,4.924055343172172e-05
22,3.006369623015348,inf,inf,inf,1.540409375,65.054,85.784,0,0,0,4.917043578034752e-05
23,2.942328687051503,inf,inf,inf,1.496775625,65.976,86.428,0,0,0,4.9097290894932865e-05
epoch,train_loss,train_grad_global,train_grad_avg,train_grad_max,eval_loss,eval_top1,eval_top5,eval_advloss,eval_advtop1,eval_advtop5,lr
24,2.877993320389617,inf,inf,inf,1.458455625,66.712,86.968,0,0,0,4.9021130325903075e-05
25,2.8145236777935287,inf,inf,inf,1.42429625,67.456,87.462,0,0,0,4.894196609989489e-05
26,2.7903233771796803,inf,inf,inf,1.393811875,68.092,87.976,0,0,0,4.8859810717857296e-05
27,2.7258241386007636,inf,inf,inf,1.3691225,68.686,88.27,0,0,0,4.8774677153077484e-05
28,2.694393513228396,inf,inf,inf,1.34694875,69.162,88.558,0,0,0,4.868657884913224e-05
29,2.661151996690878,inf,inf,inf,1.32851875,69.694,88.786,0,0,0,4.859552971776503e-05
30,2.6193821544555735,inf,inf,inf,1.31260375,69.918,89.064,0,0,0,4.850154413668916e-05
31,2.588760115617185,inf,inf,inf,1.298335625,70.228,89.3,0,0,0,4.840463694731741e-05
32,2.5554549508005215,inf,inf,inf,1.287246875,70.582,89.43,0,0,0,4.830482345241835e-05
33,2.5403343222552923,inf,inf,inf,1.275350625,70.882,89.542,0,0,0,4.820211941369991e-05
34,2.5118129681244934,inf,inf,inf,1.26765125,71.072,89.664,0,0,0,4.809654104932039e-05
35,2.474391672703669,inf,inf,inf,1.26292375,71.258,89.652,0,0,0,4.798810503132742e-05
36,2.4577196493423243,inf,inf,inf,1.259735625,71.32,89.746,0,0,0,4.787682848302528e-05
37,2.438095455999664,inf,inf,inf,1.256958125,71.61,89.766,0,0,0,4.776272897627089e-05
38,2.4051867948352195,inf,inf,inf,1.254705625,71.696,89.794,0,0,0,4.764582452869907e-05
39,2.3907068856804967,inf,inf,inf,1.2517775,71.828,89.868,0,0,0,4.7526133600877274e-05
40,2.3564479458484526,inf,inf,inf,1.251195625,71.836,89.95,0,0,0,4.740367509339052e-05
41,2.3415567141404448,inf,inf,inf,1.251904375,71.848,90.028,0,0,0,4.727846834385671e-05
42,2.335320456517781,inf,inf,inf,1.252588125,71.946,90.03,0,0,0,4.715053312387305e-05
43,2.307709874795209,inf,inf,inf,1.25230625,72.018,90.098,0,0,0,4.7019889635893834e-05
44,2.291680768977919,inf,inf,inf,1.254564375,72.05,90.09,0,0,0,4.6886558510040304e-05
45,2.2726864438596293,inf,inf,inf,1.25686,72.148,90.044,0,0,0,4.675056080084284e-05
46,2.2790141728856295,inf,inf,inf,1.2577375,72.234,90.082,0,0,0,4.6611917983916256e-05
47,2.261097919502609,inf,inf,inf,1.25883125,72.31,90.042,0,0,0,4.647065195256855e-05
48,2.266413718533459,inf,inf,inf,1.25692125,72.372,90.048,0,0,0,4.632678501434368e-05
49,2.267362611733085,inf,inf,inf,1.25667375,72.4,90.108,0,0,0,4.618033988749895e-05
50,2.2339799880123823,inf,inf,inf,1.255389375,72.44,90.068,0,0,0,4.6031339697417534e-05
51,2.2222864491095264,inf,inf,inf,1.255865625,72.504,90.07,0,0,0,4.587980797295671e-05
52,2.210886807250176,inf,inf,inf,1.25558125,72.5,90.168,0,0,0,4.5725768642732376e-05
53,2.2107469107416704,inf,inf,inf,1.256209375,72.51,90.146,0,0,0,4.556924603134047e-05
54,2.173496357328314,inf,inf,inf,1.2566275,72.492,90.156,0,0,0,4.541026485551579e-05
55,2.1911789433513995,inf,inf,inf,1.2556875,72.632,90.3,0,0,0,4.524885022022896e-05
56,2.1614627451967183,inf,inf,inf,1.257299375,72.576,90.208,0,0,0,4.508502761472208e-05
57,2.1473383106868997,inf,inf,inf,1.25939,72.608,90.184,0,0,0,4.4918822908483644e-05
58,2.1541061475456096,inf,inf,inf,1.25757125,72.694,90.168,0,0,0,4.475026234716348e-05
59,2.131556448676317,inf,inf,inf,1.259198125,72.772,90.194,0,0,0,4.457937254842823e-05
60,2.1347245500146816,inf,inf,inf,1.2598525,72.766,90.184,0,0,0,4.440618049775814e-05
